user,item,label,alpha_user,alpha_item,user_deg,item_deg,user_deg_decile,item_deg_decile,pair_id
43064,1291,Matched Negative,0.0,0.0,29.0,181.0,0,9,28
4153,24874,Positive,0.08536585420370102,0.06202435493469238,31.0,32.0,0,4,29
4153,23692,Matched Negative,0.0,0.0,31.0,33.0,0,4,29
7259,226,Positive,0.0,0.04554865509271622,29.0,94.0,0,8,30
7259,17145,Matched Negative,0.0,0.0,29.0,75.0,0,8,30
45168,41000,Positive,0.1304347813129425,0.0,32.0,16.0,0,0,31
45168,39834,Matched Negative,0.0,0.0,32.0,14.0,0,0,31
14461,38562,Positive,0.0,0.0,31.0,19.0,0,1,32
14461,33209,Matched Negative,0.0,0.0,31.0,22.0,0,1,32
38178,2528,Positive,0.05782312899827957,0.0,32.0,245.0,0,9,33
38178,6276,Matched Negative,0.0,0.0,32.0,146.0,0,9,33
17164,38131,Positive,0.0,0.0,24.0,21.0,0,1,34
17164,26355,Matched Negative,0.0,0.0,24.0,23.0,0,1,34
18663,6421,Positive,0.0,0.07692307978868484,29.0,52.0,0,6,35
18663,14141,Matched Negative,0.0,0.0,29.0,53.0,0,6,35
15688,2668,Positive,0.0,0.0,28.0,32.0,0,4,36
15688,8990,Matched Negative,0.0,0.0,28.0,34.0,0,4,36
31360,13922,Positive,0.06238095462322235,0.050847455859184265,31.0,55.0,0,7,37
31360,9976,Matched Negative,0.0,0.0,31.0,67.0,0,7,37
9444,4206,Positive,0.14754098653793335,0.08064515888690948,27.0,49.0,0,6,38
9444,6511,Matched Negative,0.0,0.0,27.0,46.0,0,6,38
41378,28648,Positive,0.0,0.0,26.0,22.0,0,1,39
41378,15716,Matched Negative,0.0,0.0,26.0,23.0,0,1,39
39526,14647,Positive,0.0714285746216774,0.0,32.0,19.0,0,1,40
39526,38676,Matched Negative,0.0,0.0,32.0,20.0,0,1,40
10976,36392,Positive,0.0,0.0,23.0,12.0,0,0,41
10976,34155,Matched Negative,0.0,0.07352941483259201,23.0,16.0,0,0,41
34362,3900,Positive,0.0,0.0,29.0,60.0,0,7,42
34362,3455,Matched Negative,0.0,0.0,29.0,57.0,0,7,42
26262,21016,Positive,0.03496503457427025,0.04226190596818924,30.0,26.0,0,2,43
26262,23890,Matched Negative,0.0,0.0,30.0,25.0,0,2,43
35661,35567,Positive,0.0,0.0,26.0,32.0,0,4,44
35661,14317,Matched Negative,0.0,0.0,26.0,35.0,0,4,44
44152,34693,Positive,0.0,0.0,31.0,54.0,0,7,45
44152,21977,Matched Negative,0.0,0.0,31.0,67.0,0,7,45
17580,4250,Positive,0.0,0.0,32.0,167.0,0,9,46
17580,15654,Matched Negative,0.0,0.0,32.0,253.0,0,9,46
1552,28078,Positive,0.0,0.0,27.0,54.0,0,7,47
1552,372,Matched Negative,0.0,0.0,27.0,61.0,0,7,47
23521,22976,Positive,0.05458430200815201,0.0,30.0,51.0,0,6,48
23521,18397,Matched Negative,0.06470588594675064,0.03896103799343109,30.0,44.0,0,6,48
7756,4447,Positive,0.0,0.0,31.0,25.0,0,2,49
7756,24344,Matched Negative,0.0,0.0,31.0,24.0,0,2,49
16940,17219,Positive,0.0,0.0,30.0,54.0,0,7,50
16940,37374,Matched Negative,0.0,0.0,30.0,55.0,0,7,50
26262,24726,Positive,0.09272876381874084,0.0416666679084301,30.0,71.0,0,8,51
26262,9573,Matched Negative,0.0,0.0,30.0,80.0,0,8,51
47581,6243,Positive,0.0,0.0,29.0,44.0,0,6,52
47581,7358,Matched Negative,0.0,0.0,29.0,47.0,0,6,52
39652,37726,Positive,0.0694444477558136,0.0476190485060215,25.0,41.0,0,5,53
39652,9437,Matched Negative,0.0,0.0,25.0,39.0,0,5,53
310,11677,Positive,0.0,0.0,32.0,21.0,0,1,54
310,26981,Matched Negative,0.0,0.0,32.0,21.0,0,1,54
41992,40204,Positive,0.040816325694322586,0.0,27.0,25.0,0,2,55
41992,30570,Matched Negative,0.0,0.0,27.0,23.0,0,2,55
38962,11434,Positive,0.0,0.0,31.0,40.0,0,5,56
38962,14626,Matched Negative,0.0,0.0,31.0,38.0,0,5,56
35594,12585,Positive,0.03488372266292572,0.0,31.0,43.0,0,5,57
35594,19034,Matched Negative,0.0,0.0,31.0,39.0,0,5,57
2222,27049,Positive,0.1028345376253128,0.0,29.0,23.0,0,1,58
2222,33495,Matched Negative,0.0,0.0,29.0,19.0,0,1,58
4827,3032,Positive,0.04601402208209038,0.0,33.0,124.0,0,9,59
4827,3847,Matched Negative,0.0,0.0,33.0,318.0,0,9,59
47014,20637,Positive,0.04631030559539795,0.0,32.0,147.0,0,9,60
47014,23557,Matched Negative,0.0,0.0,32.0,143.0,0,9,60
32984,39708,Positive,0.0,0.0,27.0,30.0,0,3,61
32984,13938,Matched Negative,0.0,0.0,27.0,30.0,0,3,61
45309,21336,Positive,0.05239180102944374,0.0,31.0,210.0,0,9,62
45309,20850,Matched Negative,0.0,0.0,31.0,113.0,0,9,62
38941,9663,Positive,0.0,0.0,23.0,54.0,0,7,63
38941,29790,Matched Negative,0.0,0.0,23.0,64.0,0,7,63
24989,19362,Positive,0.0,0.0,30.0,20.0,0,1,64
24989,40623,Matched Negative,0.0,0.0,30.0,22.0,0,1,64
36788,3918,Positive,0.0,0.0,30.0,58.0,0,7,65
36788,26638,Matched Negative,0.0,0.0,30.0,67.0,0,7,65
34112,38810,Positive,0.0,0.0,29.0,25.0,0,2,66
34112,28006,Matched Negative,0.0,0.0,29.0,25.0,0,2,66
19978,39882,Positive,0.21141216158866882,0.16978007555007935,28.0,30.0,0,3,67
19978,28921,Matched Negative,0.0,0.0,28.0,27.0,0,3,67
5193,38283,Positive,0.0,0.0615384615957737,33.0,14.0,0,0,68
5193,21064,Matched Negative,0.0,0.0,33.0,15.0,0,0,68
30756,20886,Positive,0.06761620938777924,0.06481481343507767,23.0,59.0,0,7,69
30756,12125,Matched Negative,0.0,0.0,23.0,60.0,0,7,69
43871,471,Positive,0.04550269618630409,0.0,29.0,67.0,0,7,70
43871,15695,Matched Negative,0.0,0.0,29.0,54.0,0,7,70
20810,7628,Positive,0.0,0.0422535203397274,32.0,299.0,0,9,71
20810,21896,Matched Negative,0.0,0.0,32.0,137.0,0,9,71
34328,4460,Positive,0.0,0.0,31.0,66.0,0,7,72
34328,26468,Matched Negative,0.0,0.0,31.0,56.0,0,7,72
24106,31614,Positive,0.10883797705173492,0.0,27.0,12.0,0,0,73
24106,35021,Matched Negative,0.0,0.0,27.0,13.0,0,0,73
42212,33410,Positive,0.0,0.0,30.0,48.0,0,6,74
42212,22271,Matched Negative,0.0,0.0,30.0,50.0,0,6,74
24354,37674,Positive,0.05050504952669144,0.0,31.0,30.0,0,3,75
24354,23791,Matched Negative,0.0,0.0,31.0,28.0,0,3,75
35219,40954,Positive,0.0,0.0,28.0,17.0,0,0,76
35219,30595,Matched Negative,0.0,0.0,28.0,14.0,0,0,76
5785,16243,Positive,0.0,0.0,31.0,104.0,0,8,77
5785,26667,Matched Negative,0.0,0.0,31.0,92.0,0,8,77
19084,24047,Positive,0.0,0.0,28.0,48.0,0,6,78
19084,229,Matched Negative,0.0,0.0,28.0,51.0,0,6,78
2663,24184,Positive,0.0,0.0,25.0,50.0,0,6,79
2663,13481,Matched Negative,0.0,0.0,25.0,48.0,0,6,79
23150,31247,Positive,0.036036036908626556,0.0,32.0,62.0,0,7,80
23150,14105,Matched Negative,0.0,0.0,32.0,70.0,0,7,80
27788,13782,Positive,0.0,0.0,32.0,86.0,0,8,81
27788,18750,Matched Negative,0.0,0.0,32.0,71.0,0,8,81
13923,1040,Positive,0.07407407462596893,0.0,30.0,46.0,0,6,82
13923,16509,Matched Negative,0.0,0.0,30.0,50.0,0,6,82
3583,37570,Positive,0.07692307978868484,0.0,26.0,41.0,0,5,83
3583,14103,Matched Negative,0.0,0.0,26.0,38.0,0,5,83
1465,19395,Positive,0.0,0.0,33.0,60.0,0,7,84
1465,2882,Matched Negative,0.0,0.0,33.0,61.0,0,7,84
3882,14824,Positive,0.039007093757390976,0.0746268630027771,33.0,80.0,0,8,85
3882,6932,Matched Negative,0.0,0.0,33.0,92.0,0,8,85
41662,32151,Positive,0.0,0.0,27.0,47.0,0,6,86
41662,4865,Matched Negative,0.0,0.0,27.0,49.0,0,6,86
23662,19647,Positive,0.0,0.0,30.0,31.0,0,3,87
23662,31952,Matched Negative,0.0,0.0,30.0,28.0,0,3,87
28148,40012,Positive,0.0,0.0,29.0,25.0,0,2,88
28148,23737,Matched Negative,0.0,0.0,29.0,26.0,0,2,88
18186,23747,Positive,0.0,0.0,30.0,95.0,0,8,89
18186,6059,Matched Negative,0.0,0.0,30.0,82.0,0,8,89
33826,22862,Positive,0.0,0.0,31.0,59.0,0,7,90
33826,18032,Matched Negative,0.0,0.0,31.0,63.0,0,7,90
25459,20710,Positive,0.0,0.0,32.0,94.0,0,8,91
25459,12863,Matched Negative,0.0,0.0,32.0,96.0,0,8,91
5961,18899,Positive,0.08200590312480927,0.0,24.0,68.0,0,7,92
5961,16053,Matched Negative,0.0,0.0,24.0,70.0,0,7,92
17361,21447,Positive,0.0,0.0,30.0,45.0,0,6,93
17361,21761,Matched Negative,0.0,0.0,30.0,52.0,0,6,93
35922,28096,Positive,0.07199999690055847,0.06666667014360428,32.0,84.0,0,8,94
35922,16610,Matched Negative,0.0,0.0,32.0,73.0,0,8,94
26712,25602,Positive,0.09459459781646729,0.0,32.0,36.0,0,4,95
26712,10468,Matched Negative,0.0,0.0,32.0,35.0,0,4,95
14940,26546,Positive,0.10144927352666855,0.0,25.0,42.0,0,5,96
14940,7633,Matched Negative,0.0,0.0,25.0,42.0,0,5,96
17482,9300,Positive,0.03846153989434242,0.0,31.0,28.0,0,3,97
17482,32781,Matched Negative,0.0,0.0,31.0,28.0,0,3,97
41231,11119,Positive,0.0,0.0,27.0,121.0,0,9,98
41231,24401,Matched Negative,0.0,0.0,27.0,118.0,0,9,98
28996,37878,Positive,0.0,0.0,28.0,17.0,0,0,99
28996,34655,Matched Negative,0.0,0.0,28.0,16.0,0,0,99
15477,13396,Positive,0.0,0.0,32.0,69.0,0,7,100
15477,15263,Matched Negative,0.0,0.0,32.0,55.0,0,7,100
8055,30508,Positive,0.0,0.0,26.0,29.0,0,3,101
8055,29419,Matched Negative,0.0,0.0,26.0,28.0,0,3,101
45445,24548,Positive,0.05882352963089943,0.0,25.0,51.0,0,6,102
45445,1792,Matched Negative,0.0,0.0,25.0,44.0,0,6,102
10730,24081,Positive,0.050971630960702896,0.07575757801532745,32.0,44.0,0,6,103
10730,15266,Matched Negative,0.0,0.0,32.0,47.0,0,6,103
29206,29238,Positive,0.07469645142555237,0.072727270424366,30.0,91.0,0,8,104
29206,9376,Matched Negative,0.0,0.0,30.0,85.0,0,8,104
38449,13700,Positive,0.0625,0.08771929889917374,29.0,21.0,0,1,105
38449,24907,Matched Negative,0.0,0.0,29.0,23.0,0,1,105
34362,11621,Positive,0.0,0.0,29.0,47.0,0,6,106
34362,27297,Matched Negative,0.0,0.0,29.0,48.0,0,6,106
13453,17447,Positive,0.0,0.0,25.0,86.0,0,8,107
13453,12934,Matched Negative,0.0,0.0,25.0,96.0,0,8,107
2938,31926,Positive,0.0,0.0,30.0,37.0,0,5,108
2938,33961,Matched Negative,0.0,0.0,30.0,39.0,0,5,108
46224,6367,Positive,0.07347294688224792,0.053017131984233856,27.0,81.0,0,8,109
46224,12225,Matched Negative,0.0,0.0,27.0,88.0,0,8,109
30968,8869,Positive,0.0,0.0,32.0,137.0,0,9,110
30968,406,Matched Negative,0.0,0.0,32.0,539.0,0,9,110
2860,27193,Positive,0.040816325694322586,0.0555555559694767,30.0,44.0,0,6,111
2860,24851,Matched Negative,0.0,0.0,30.0,46.0,0,6,111
31186,38609,Positive,0.0,0.0,30.0,26.0,0,2,112
31186,36084,Matched Negative,0.0,0.0,30.0,25.0,0,2,112
22481,37266,Positive,0.07954545319080353,0.0,28.0,41.0,0,5,113
22481,24501,Matched Negative,0.0,0.0,28.0,40.0,0,5,113
3222,36372,Positive,0.0,0.0,28.0,13.0,0,0,114
3222,41038,Matched Negative,0.0,0.0,28.0,13.0,0,0,114
35086,134,Positive,0.05419411510229111,0.04285714402794838,28.0,378.0,0,9,115
35086,5750,Matched Negative,0.0,0.0,28.0,177.0,0,9,115
27060,211,Positive,0.0,0.0,28.0,37.0,0,5,116
27060,31945,Matched Negative,0.0,0.0,28.0,38.0,0,5,116
14351,2278,Positive,0.0,0.0,28.0,28.0,0,3,117
14351,351,Matched Negative,0.0,0.0,28.0,30.0,0,3,117
18886,12301,Positive,0.0,0.046875,30.0,76.0,0,8,118
18886,1077,Matched Negative,0.0,0.0,30.0,78.0,0,8,118
3121,9679,Positive,0.0,0.0,28.0,42.0,0,5,119
3121,31867,Matched Negative,0.0,0.0,28.0,37.0,0,5,119
14190,12798,Positive,0.0564415268599987,0.0793650820851326,32.0,75.0,0,8,120
14190,25428,Matched Negative,0.0,0.0,32.0,93.0,0,8,120
37523,4618,Positive,0.058705803006887436,0.0476190485060215,32.0,624.0,0,9,121
37523,7770,Matched Negative,0.0,0.0,32.0,324.0,0,9,121
38727,37493,Positive,0.0,0.0,31.0,30.0,0,3,122
38727,33493,Matched Negative,0.0,0.0,31.0,27.0,0,3,122
1330,19092,Positive,0.0,0.0,31.0,173.0,0,9,123
1330,4313,Matched Negative,0.0,0.0,31.0,212.0,0,9,123
18056,27162,Positive,0.03947368264198303,0.03703703731298447,28.0,48.0,0,6,124
18056,26652,Matched Negative,0.0,0.0,28.0,51.0,0,6,124
21434,21705,Positive,0.0805152952671051,0.0535714291036129,27.0,24.0,0,2,125
21434,26734,Matched Negative,0.0,0.0,27.0,26.0,0,2,125
34007,5120,Positive,0.046303655952215195,0.06503377854824066,31.0,233.0,0,9,126
34007,3901,Matched Negative,0.0,0.0,31.0,303.0,0,9,126
37851,26694,Positive,0.0,0.0,30.0,22.0,0,1,127
37851,7360,Matched Negative,0.0,0.0,30.0,23.0,0,1,127
68,2311,Positive,0.06438631564378738,0.0,33.0,381.0,0,9,128
68,1997,Matched Negative,0.0,0.0,33.0,388.0,0,9,128
15197,4606,Positive,0.06962025165557861,0.07716324925422668,27.0,101.0,0,8,129
15197,26829,Matched Negative,0.0,0.0,27.0,81.0,0,8,129
35989,3529,Positive,0.0,0.0,29.0,163.0,0,9,130
35989,6229,Matched Negative,0.0,0.0,29.0,225.0,0,9,130
20147,31047,Positive,0.0,0.0,18.0,27.0,0,3,131
20147,40555,Matched Negative,0.0,0.0,18.0,27.0,0,3,131
860,549,Positive,0.0,0.0,32.0,111.0,0,9,132
860,4702,Matched Negative,0.0,0.0,32.0,304.0,0,9,132
45400,38213,Positive,0.0892857164144516,0.0,26.0,27.0,0,3,133
45400,4457,Matched Negative,0.0,0.0,26.0,29.0,0,3,133
12050,26520,Positive,0.0,0.0,30.0,22.0,0,1,134
12050,17110,Matched Negative,0.0,0.0,30.0,20.0,0,1,134
27539,4193,Positive,0.0,0.0,30.0,22.0,0,1,135
27539,22291,Matched Negative,0.0,0.0,30.0,23.0,0,1,135
25330,36203,Positive,0.10638298094272614,0.0,31.0,35.0,0,4,136
25330,30535,Matched Negative,0.0,0.0,31.0,31.0,0,4,136
28767,31114,Positive,0.0,0.0,25.0,35.0,0,4,137
28767,31354,Matched Negative,0.0,0.0,25.0,32.0,0,4,137
2170,20028,Positive,0.0,0.0,29.0,60.0,0,7,138
2170,24584,Matched Negative,0.0,0.0,29.0,53.0,0,7,138
12550,17178,Positive,0.0,0.0,29.0,66.0,0,7,139
12550,11097,Matched Negative,0.0,0.0,29.0,62.0,0,7,139
9292,5517,Positive,0.0,0.0,31.0,111.0,0,9,140
9292,5167,Matched Negative,0.048591386526823044,0.0,31.0,680.0,0,9,140
41677,10096,Positive,0.0,0.0634920671582222,28.0,45.0,0,6,141
41677,21334,Matched Negative,0.0,0.0,28.0,51.0,0,6,141
31326,15019,Positive,0.03333333507180214,0.0,27.0,57.0,0,7,142
31326,20181,Matched Negative,0.0,0.0,27.0,56.0,0,7,142
27068,3826,Positive,0.0,0.0,28.0,263.0,0,9,143
27068,5759,Matched Negative,0.0,0.0,28.0,127.0,0,9,143
44920,25255,Positive,0.0,0.0,26.0,47.0,0,6,144
44920,8377,Matched Negative,0.0,0.0,26.0,49.0,0,6,144
5113,19967,Positive,0.05264423042535782,0.04918032884597778,29.0,39.0,0,5,145
5113,31218,Matched Negative,0.0,0.0,29.0,39.0,0,5,145
5688,6767,Positive,0.04938271641731262,0.0,30.0,49.0,0,6,146
5688,19965,Matched Negative,0.0,0.0,30.0,52.0,0,6,146
44400,30630,Positive,0.0,0.03448275849223137,30.0,35.0,0,4,147
44400,38865,Matched Negative,0.0,0.0,30.0,31.0,0,4,147
44316,8468,Positive,0.0,0.05263157933950424,31.0,321.0,0,9,148
44316,21805,Matched Negative,0.0,0.0,31.0,206.0,0,9,148
45503,23622,Positive,0.0,0.04477611929178238,29.0,76.0,0,8,149
45503,26087,Matched Negative,0.0,0.0,29.0,94.0,0,8,149
8648,3937,Positive,0.05833333358168602,0.0,30.0,113.0,0,9,150
8648,23261,Matched Negative,0.0,0.0,30.0,136.0,0,9,150
14442,24217,Positive,0.04020100459456444,0.0,32.0,81.0,0,8,151
14442,16392,Matched Negative,0.0,0.0,32.0,104.0,0,8,151
29145,12391,Positive,0.0,0.0,29.0,29.0,0,3,152
29145,18290,Matched Negative,0.0,0.0,29.0,29.0,0,3,152
36178,19657,Positive,0.05978260934352875,0.04615384712815285,27.0,131.0,0,9,153
36178,1859,Matched Negative,0.0,0.0,27.0,305.0,0,9,153
47854,12076,Positive,0.0,0.0,32.0,230.0,0,9,154
47854,1144,Matched Negative,0.0,0.0,32.0,152.0,0,9,154
13987,39744,Positive,0.0,0.0,24.0,16.0,0,0,155
13987,41104,Matched Negative,0.0,0.0,24.0,14.0,0,0,155
41837,15614,Positive,0.06756756454706192,0.0,32.0,44.0,0,6,156
41837,11578,Matched Negative,0.0,0.0,32.0,47.0,0,6,156
179,7504,Positive,0.07613513618707657,0.05603581294417381,31.0,125.0,0,9,157
179,261,Matched Negative,0.0,0.0,31.0,331.0,0,9,157
6713,25645,Positive,0.0,0.0,23.0,35.0,0,4,158
6713,2514,Matched Negative,0.0,0.0,23.0,33.0,0,4,158
33198,20820,Positive,0.0595238097012043,0.0,32.0,36.0,0,4,159
33198,15618,Matched Negative,0.0,0.0,32.0,34.0,0,4,159
24582,27595,Positive,0.0,0.0,29.0,21.0,0,1,160
24582,40948,Matched Negative,0.0,0.0,29.0,18.0,0,1,160
441,15058,Positive,0.04411764815449715,0.0,33.0,44.0,0,6,161
441,11940,Matched Negative,0.0,0.0,33.0,50.0,0,6,161
29924,20551,Positive,0.05799247324466705,0.09433962404727936,28.0,128.0,0,9,162
29924,1092,Matched Negative,0.0,0.0,28.0,128.0,0,9,162
11390,4562,Positive,0.09554140269756317,0.0,32.0,118.0,0,9,163
11390,10949,Matched Negative,0.0,0.0,32.0,384.0,0,9,163
39213,39491,Positive,0.0,0.0,30.0,24.0,0,2,164
39213,4361,Matched Negative,0.0,0.0,30.0,27.0,0,2,164
46277,12609,Positive,0.0,0.0,29.0,38.0,0,5,165
46277,20920,Matched Negative,0.0,0.0,29.0,41.0,0,5,165
40484,28347,Positive,0.0,0.0,27.0,69.0,0,7,166
40484,3173,Matched Negative,0.0,0.0,27.0,63.0,0,7,166
12480,14900,Positive,0.0,0.0,32.0,105.0,0,8,167
12480,2490,Matched Negative,0.0,0.0,32.0,98.0,0,8,167
27311,5678,Positive,0.04878048598766327,0.0,32.0,103.0,0,8,168
27311,9446,Matched Negative,0.0,0.0,32.0,90.0,0,8,168
31605,30877,Positive,0.05960649251937866,0.04545454680919647,28.0,18.0,0,0,169
31605,2210,Matched Negative,0.0,0.0,28.0,15.0,0,0,169
35460,6072,Positive,0.06715318560600281,0.07511918991804123,24.0,105.0,0,8,170
35460,24572,Matched Negative,0.0,0.0,24.0,104.0,0,8,170
38736,8973,Positive,0.0,0.0,29.0,203.0,0,9,171
38736,9343,Matched Negative,0.0,0.0,29.0,116.0,0,9,171
1728,17039,Positive,0.0,0.0,30.0,55.0,0,7,172
1728,32570,Matched Negative,0.0,0.0,30.0,67.0,0,7,172
46213,10514,Positive,0.0,0.0,29.0,58.0,0,7,173
46213,16514,Matched Negative,0.0,0.0,29.0,60.0,0,7,173
21702,18302,Positive,0.0,0.0,31.0,62.0,0,7,174
21702,18537,Matched Negative,0.0,0.0,31.0,54.0,0,7,174
23927,14741,Positive,0.0,0.0,32.0,237.0,0,9,175
23927,9312,Matched Negative,0.0,0.0,32.0,129.0,0,9,175
43218,35242,Positive,0.0,0.0,31.0,32.0,0,4,176
43218,21965,Matched Negative,0.0,0.0,31.0,34.0,0,4,176
380,13452,Positive,0.0,0.0,33.0,64.0,0,7,177
380,18800,Matched Negative,0.0,0.0,33.0,68.0,0,7,177
25052,36151,Positive,0.07692307978868484,0.0,31.0,32.0,0,4,178
25052,25849,Matched Negative,0.0,0.0,31.0,36.0,0,4,178
34599,11313,Positive,0.0,0.05128205195069313,31.0,107.0,0,8,179
34599,26234,Matched Negative,0.0,0.0,31.0,72.0,0,8,179
27273,1475,Positive,0.0,0.0,29.0,23.0,0,1,180
27273,19599,Matched Negative,0.0,0.0,29.0,23.0,0,1,180
44316,5691,Positive,0.04672897234559059,0.0470588244497776,31.0,195.0,0,9,181
44316,19770,Matched Negative,0.0,0.0,31.0,129.0,0,9,181
42199,40252,Positive,0.0,0.0,28.0,7.0,0,0,182
42199,18307,Matched Negative,0.0,0.0,28.0,9.0,0,0,182
3381,20164,Positive,0.0,0.0,26.0,48.0,0,6,183
3381,8298,Matched Negative,0.0,0.0,26.0,49.0,0,6,183
11861,18834,Positive,0.064450204372406,0.08955223858356476,32.0,134.0,0,9,184
11861,3117,Matched Negative,0.0,0.0,32.0,209.0,0,9,184
34524,5163,Positive,0.0,0.0,27.0,82.0,0,8,185
34524,29133,Matched Negative,0.0,0.0,27.0,101.0,0,8,185
23999,16954,Positive,0.043912533670663834,0.06666667014360428,28.0,63.0,0,7,186
23999,8918,Matched Negative,0.0,0.0,28.0,70.0,0,7,186
1712,9950,Positive,0.0,0.0,30.0,183.0,0,9,187
1712,14210,Matched Negative,0.0,0.0,30.0,167.0,0,9,187
21644,2404,Positive,0.05000000074505806,0.0,30.0,91.0,0,8,188
21644,15269,Matched Negative,0.0,0.0,30.0,84.0,0,8,188
5044,1508,Positive,0.0694444477558136,0.0,31.0,33.0,0,4,189
5044,28339,Matched Negative,0.0,0.0,31.0,32.0,0,4,189
7734,38594,Positive,0.08712121844291687,0.0,25.0,40.0,0,5,190
7734,4064,Matched Negative,0.0,0.0,25.0,37.0,0,5,190
17835,16248,Positive,0.05970149114727974,0.0,29.0,37.0,0,5,191
17835,27515,Matched Negative,0.0,0.0,29.0,39.0,0,5,191
20399,6323,Positive,0.034752119332551956,0.07042253762483597,31.0,481.0,0,9,192
20399,735,Matched Negative,0.0,0.0,31.0,163.0,0,9,192
23150,35350,Positive,0.09801050275564194,0.07860051840543747,32.0,34.0,0,4,193
23150,24908,Matched Negative,0.0,0.0,32.0,32.0,0,4,193
7755,20566,Positive,0.0,0.0,30.0,32.0,0,4,194
7755,33045,Matched Negative,0.0,0.0,30.0,32.0,0,4,194
41909,11095,Positive,0.0674145370721817,0.0,30.0,72.0,0,8,195
41909,27486,Matched Negative,0.0,0.0,30.0,92.0,0,8,195
7259,12962,Positive,0.03846153989434242,0.0476190485060215,29.0,55.0,0,7,196
7259,37229,Matched Negative,0.0,0.0,29.0,55.0,0,7,196
20494,165,Positive,0.08669476211071014,0.04545454680919647,31.0,1179.0,0,9,197
20494,2780,Matched Negative,0.0,0.0,31.0,247.0,0,9,197
